pct_change_22,Indicator5_0,Indicator5_30,Indicator5_150,Indicator5_210,Indicator50_30,Indicator50_0,Indicator20_0,Indicator200_0,Indicator100_0,Indicator150_0,Indicator10_150,Indicator20_30,Indicator10_30,Indicator150_180,Indicator20_180,Indicator10_0,Indicator200_150,Indicator50_210,Indicator200_30,Indicator10_180,Indicator20_150,Indicator150_30,Indicator20_210,Indicator50_180,Indicator10_210,Indicator200_210,Indicator150_150,Indicator100_180,Indicator100_30,Indicator100_210,Indicator150_210,Indicator200_180,Indicator50_150
0.16220709,0.021717616,0.00403688,0.009870011,-0.019665975,0.08426328,0.201703644,0.182434388,0.973600973,0.448740816,0.844151518,-0.012349927,-0.006814889,0.118265207,0.500782948,0.049270037,0.050032377,0.387977141,0.14608484,0.608831272,-0.110824729,0.020770375,0.554550739,0.059035267,0.034917183,-0.03677838,0.235096567,0.290639564,0.288082416,0.431713714,0.631423325,0.227708958,0.235850351,0.070194587
0.001203631,0.180354267,-0.027586207,-0.125736739,0.015197568,0.122339577,0.071481706,0.068102931,0.211584697,0.212459415,0.169810761,0.042005653,0.068158855,0.046024899,0.433773489,0.07701094,0.019630156,0.267370503,0.081466185,0.262751038,0.043268086,-0.042888846,0.121462482,0.049621334,0.125985986,0.030228298,0.462602998,0.42604091,0.23059493,0.160390483,0.340827099,0.269382874,0.399664069,0.035709994
0.257537237,0.025704809,0.085106383,0.185689949,-0.140425532,0.236731679,0.06699753,-0.025519756,1.169811356,0.293571371,0.532620482,0.029186594,0.064677992,0.038680176,-0.386330924,0.168165864,-0.032478986,-0.203431659,0.02978957,1.22614493,0.149007326,0.109525379,0.85341353,0.103428911,0.201105362,0.07825418,-0.423613949,0.18273457,0.018555657,0.364277346,-0.234686672,-0.455137817,-0.413633622,0.41575255
0.168120328,0.026185421,-0.013006886,-0.04437401,0.097186701,0.150681415,0.018850041,0.054219771,0.264009446,0.256800175,0.44243029,-0.019420622,0.021221162,-0.061757904,0.313488408,0.038387984,-0.091735362,0.220901801,-0.314055377,0.257701891,0.035950111,-0.059362184,0.22011342,-0.142794579,0.030807358,-0.127896611,0.639486297,-0.043352461,-0.019580655,0.418642987,0.02104346,0.279921567,0.61150403,-0.123694604
0.098028345,-0.011600929,-0.01092225,-0.024006002,0.02219671,0.101234681,0.143380764,0.055265712,0.809372854,0.155027171,0.377752946,0.116062069,0.014106786,0.031002106,0.200320127,0.044002795,0.039912891,0.455059571,0.002187954,0.56176313,0.068770798,0.199576146,0.537160502,-0.034744828,0.016005243,-0.031805938,0.117477938,0.440169628,0.08285875,0.055921151,0.158806234,0.157481534,0.210255807,0.313278161
-0.238525935,0.02645021,0.03630834,-0.077267442,0.029166787,-0.14015938,-0.21324223,-0.074004686,-0.247518901,-0.370050997,-0.269440181,-0.048740141,-0.058475355,-0.072717153,0.439536267,0.032137891,-0.087165378,0.554813455,0.162820312,-0.161571158,0.006797536,0.005139566,-0.127533972,-0.025969515,-0.03901262,0.006636395,0.632277663,0.504330097,0.346954987,-0.248463782,0.485916332,0.444422483,0.541688912,0.03000614
-0.093338559,0.040472897,0.016369048,0.01325381,-0.088689992,0.042713545,0.054366956,0.043207023,0.331619349,0.025467926,0.183210925,-0.062016782,0.027063643,-0.020853984,0.398020284,0.082274612,0.048174659,0.480736039,0.065338271,0.27971745,0.100471549,0.00332587,0.198528031,0.010444673,0.067740944,0.026682838,0.278723982,0.334392164,0.145570965,0.177574316,0.243242373,0.326802569,0.375171482,0.125428544
0.106559917,-0.10321489,-0.056261343,0,-0.07444668,-0.020088723,0.087088148,0.195135031,0.333887777,0.099072518,0.171542192,0.015148184,-0.024865891,0.008412341,0.295150454,0.065340484,0.078470616,0.539164545,0.066953379,0.352809289,-0.043718597,0.044281461,0.123131088,0.102008889,0.204498125,0.09200144,0.398030127,0.253976331,0.237582175,-0.010537414,0.050870106,0.374238958,0.437138926,0.138574253
-0.065216569,0.001715982,-0.009006767,-0.005154707,0.000536278,-0.014024604,-0.019486329,0.014507359,0.1971647,0.013137803,0.070213499,0.090282023,-0.056949955,-0.078517741,-0.280413164,-0.054615726,0.004581038,-0.183138121,0.004087983,0.26193586,-0.005200934,0.153210068,0.217942025,0.082559791,0.036121452,-0.04142504,-0.275456887,-0.048900693,-0.114067975,0.102409144,-0.142962954,-0.300015907,-0.383876558,0.118622313
0.190471484,-0.045489283,0.024329038,-0.007984584,0.04827305,0.135346515,0.031653579,-0.080006911,0.406752401,0.107116796,0.183090735,0.052116264,0.113409071,0.053371275,0.110537577,-0.007111746,-0.056813155,0.261083243,-0.03327749,0.565949385,-0.025705716,0.060869391,0.529107992,0.035427902,0.024093389,-0.000753111,0.198270553,0.18187287,0.007291772,0.233939503,0.083959629,0.172850413,0.254366942,0.189048616
