Oil Rate Cum,sed18ss_csv,seh5n_csv,sef19n_csv,sda5n_csv,sec10ls_csv,sec1n_csv,sec24_csv,sec34ls_csv,sed24ls_csv,sec7_csv,sec20_csv,sed3ls_csv,raa4ss_csv,seh8n_csv,sec4_csv,sed7n_csv,seb7ls_csv,seh3st3n_csv,seb31_csv,sed24ss_csv,sec34ss_csv,raa4_csv,raa1_csv,raa3_csv,sed21ls_csv,sef12n_csv,raa2_csv,sed2ls_csv,seg25st_csv,see8n_csv,see5ls_csv,sed12ls_csv,sec32n_csv,see15ss_csv,sda3ss_csv,raa9_csv,raa8_csv,sed14ls_csv,sed10ss_csv,sec11_csv,sec38_csv,sea2_csv,sed28ls_csv,seg3st_csv,seb6st1ls_csv,sed8ss_csv,sed31ls_csv,sed9ls_csv,seh6n_csv,sef9n_csv,seb8_csv
12313.77,400.9,281.54,341.44,0,0,0,309.76,0,183.81,0,264.84,0,0,270.53,0,389.32,152.34,33.26,359.05,0,0,960.04,512.5,63.31,461.45,0,813.4,0,264.45,601.7,173.66,0,0,0,252.09,175.36,39.84,275.11,576.03,798.31,177.57,588.92,0,365.95,0,0,454.47,800.18,192.48,724.68,55.48
12330.11,0,358.79,435.13,0,0,0,0,0,234.24,0,0,0,0,344.77,0,496.15,242.05,42.38,457.57,328.38,0,1223.48,653.12,80.68,463.67,0,0,0,337.01,766.8,334.54,0,0,0,321.26,222.04,50.78,350.6,734.09,0,0,750.51,0,466.37,170.56,0,579.18,631.27,245.3,965.2,44.19
12336.49,385.83,288.95,350.42,0,0,0,317.91,0,188.64,0,232.16,0,0,277.65,0,399.56,178.69,34.13,368.49,0,0,985.3,525.98,64.98,473.59,0,834.79,0,271.4,617.53,178.23,0,0,0,258.72,179.97,40.89,282.34,591.18,819.31,182.24,465.9,0,375.58,0,0,466.43,701.47,197.55,743.74,56.94
12446.08,598.25,312.56,379.06,0,0,0,343.9,0,204.06,0,168.45,0,0,300.34,0,432.22,193.29,36.92,398.61,26.82,0,754.96,568.97,70.29,512.3,0,903.02,0,293.59,668,192.8,0,0,0,279.87,194.68,44.23,305.42,639.5,886.28,197.13,0,0,406.27,0,0,504.55,549.93,213.69,804.53,61.59
12459.91,0,300.75,364.74,0,325.29,0,357.14,0,196.35,177.42,285.21,0,0,278.13,494.12,415.89,202.9,34.43,383.55,275.26,356.32,113.19,239.52,29.59,388.67,0,380.15,0,285.6,642.76,280.42,0,0,334.74,78.54,53.74,9.63,288.05,615.34,629.58,326.71,629.11,12.52,382.49,221.37,0,485.49,529.15,265.13,790.92,0
12466.62,402.06,301.1,365.16,0,0,0,289.88,0,196.58,0,236.03,0,0,289.33,82.32,416.37,186.21,35.57,384,34.45,0,1026.75,548.11,67.71,493.52,0,869.91,0,282.82,643.51,185.73,0,0,0,269.61,187.55,42.61,294.22,616.05,747.06,166.17,32.8,0,391.38,0,0,486.05,855.78,205.86,775.03,59.33
12579.52,0,361.34,438.21,0,0,0,0,0,235.9,0,0,0,0,347.21,0,499.66,243.77,42.68,460.82,330.71,0,1232.15,657.76,81.26,466.96,0,239.24,0,339.4,772.24,336.91,0,0,83.79,323.54,223.62,35.16,353.08,739.3,0,0,755.83,0,469.67,0,0,583.28,635.75,247.04,972.04,71.2
12612.12,438.45,307.91,373.42,0,267.12,0,338.78,0,201.02,38.37,289.65,0,0,295.88,405.14,425.79,190.42,36.37,392.69,202.56,299.66,207.81,181,22.36,189.26,0,287.27,0,289.22,658.07,189.93,0,0,0,275.71,61.93,8.62,300.88,629.99,873.1,194.2,644.09,0,400.23,259.28,0,497.05,875.14,210.52,792.56,60.67
12626.1,0,317.35,384.87,0,0,0,349.17,0,207.19,0,298.52,0,0,304.94,0,438.84,196.26,37.49,404.72,0,0,1082.16,577.69,71.36,520.15,0,916.86,0,298.08,678.23,195.75,0,0,0,284.16,197.67,44.91,310.1,649.3,899.86,200.15,69.15,0,412.5,111.68,0,512.28,558.36,216.97,816.85,62.53
12659.61,382.62,286.55,347.51,0,0,0,315.27,0,187.07,0,196.54,0,0,275.34,0,396.24,177.2,33.85,365.43,10.93,177.83,977.11,521.61,64.44,469.66,0,827.86,0,269.15,612.4,176.75,0,0,0,256.57,178.48,40.55,280,586.27,812.51,180.72,599.39,0,372.46,14.41,0,462.55,814.41,195.91,737.56,56.46
